voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Acidophilus milk,0.089,122.57142857142857,0.007000000000000001,11.6,95.42857142857143,153.42857142857142,0.0014128571428571428,0.05600000000000001,0.42857142857142855,0.9571428571428572,0.18142857142857144,0.03328571428571429,0.00020285714285714286,0.03957142857142858,0.2233333333333333,0.001
"Acidophilus milk, QUAL Semi-skimmed",0.037,109.22857142857143,0.046,10.228571428571428,84.42857142857143,138.42857142857142,0.001,0.067,0.3871428571428571,0.6900000000000001,0.16114285714285712,0.027571428571428573,0.0002357142857142857,0.038,0.022333333333333334,0.0
"Acidophilus milk, QUAL Skim",,117.28571428571429,0.005200000000000001,12.285714285714286,93.85714285714286,149.71428571428572,0.0010857142857142858,0.092,0.41857142857142854,0.712,0.1737142857142857,0.03485714285714286,0.00022285714285714286,0.04028571428571429,0.09,0.0
Alcoholic sweet sauce,0.865,26.0,0.084,7.0,95.0,65.0,,1.3190000000000002,0.711,0.9560000000000001,0.087,0.037,0.0004,0.041,0.865,0.002
Alcopop and flavoured wine,,4.2,0.031,1.0,6.0,2.6,0.0,0.031,0.014,0.0,0.0,0.0,0.0,0.001,0.0,0.0
Ale beer,0.0,5.0,0.05000000000000001,9.0,22.428571428571427,43.0,,0.001,0.11333333333333333,0.943,0.04,0.001,0.0001,0.03428571428571429,0.0,0.0
Alfalfa sprouts,0.15000000000000002,32.0,0.159,27.0,70.0,79.0,0.001,1.0,0.9057142857142857,1.3830000000000002,0.09885714285714285,0.061714285714285715,0.0,0.031142857142857142,0.074,0.0305
"Alfalfa sprouts, PROCESS Cooking in water",0.095,33.0,0.166,24.0,70.0,65.0,,0.8950000000000001,0.856,1.304,0.111,0.063,0.0,0.029,0.095,0.0305
"Alfalfa sprouts, PROCESS Steaming",0.094,30.485714285714288,0.16628571428571431,25.0,84.57142857142857,111.28571428571429,,0.988857142857143,0.7265714285714285,1.3511428571428572,0.1285714285714286,0.07257142857142858,0.0,0.05071428571428571,0.094,0.0305
Allspice fruit,,493.74285714285713,0.6785714285714286,106.34285714285714,96.57142857142857,945.7142857142857,0.005,5.957142857142856,1.0,4.15,0.10285714285714286,0.08571428571428573,0.0,0.21714285714285714,4.5,0.0
Almond drink,0.03,15.571428571428571,,16.5,32.142857142857146,50.0,0.0005,0.31428571428571433,0.17142857142857146,0.1,0.017142857142857144,0.03142857142857143,0.0,0.05,0.294,0.0
Almonds sweet,24.0,229.71428571428572,0.8717142857142858,259.85714285714283,508.85714285714283,766.8571428571429,0.0019571428571428574,3.7157142857142853,3.120857142857143,7.2865714285714285,0.5798571428571428,0.23142857142857146,0.0,0.09342857142857142,24.5346,0.0
"Almonds sweet, PROCESS Baking",24.0,181.14285714285714,0.9414285714285714,251.42857142857142,458.57142857142856,727.0,0.003428571428571429,3.7167142857142856,3.2507142857142854,7.203428571428572,0.4551428571428571,0.17814285714285713,0.0,0.06699999999999999,25.4232,0.0
"Almonds sweet, PROCESS Cooking in water",24.8,79.0,0.773,203.0,332.0,597.0,,2.901,3.023,5.988,0.149,0.161,0.0,0.018,24.8,0.0
"Almonds sweet, PROCESS Steaming",24.8,79.0,0.773,203.0,332.0,597.0,,2.901,3.023,5.988,0.149,0.161,0.0,0.018,24.8,0.0
Amaranth flour,0.1,214.0,0.777,266.0,455.0,366.0,,7.589999999999999,3.18,4.303,0.208,0.08,0.0,0.223,0.1,0.001
American persimmons,1.3,23.47142857142857,0.25857142857142856,37.285714285714285,33.92857142857143,307.14285714285717,0.0008,0.3628571428571429,0.48514285714285715,1.0242857142857142,0.09857142857142856,0.05257142857142857,0.0,0.19142857142857142,0.584,0.008
Amphibians and Reptiles,0.8,18.0,,23.0,147.0,310.0,0.0141,1.5,2.0,1.2,0.25,0.14,,1.2,0.8,
Anchovies,1.0,99.0,0.13657142857142857,23.042857142857144,174.14285714285714,235.57142857142858,0.035514285714285714,3.3042857142857147,2.204285714285714,15.231714285714288,0.24285714285714288,0.06,0.00118,0.15728571428571428,0.496,0.0
"Anchovies, PROCESS Baking",0.56,98.0,0.24,44.0,252.0,283.0,,4.995,1.115,24.022,0.27,0.02,0.0006,0.154,0.56,0.0
"Anchovies, PROCESS Cooking in water",0.64,101.85714285714286,0.24,35.142857142857146,218.85714285714286,229.28571428571428,0.02,3.9050000000000002,1.3528571428571428,21.017,0.21642857142857141,0.02,0.0006,0.21857142857142858,0.568,0.0
"Anchovies, PROCESS Frying",0.56,98.0,0.24,44.0,252.0,283.0,,4.995,1.115,25.621,0.291,0.02,0.0006,0.137,0.56,0.0
"Anchovies, PROCESS Steaming",0.568,103.0,0.24,44.0,250.0,263.0,,4.947,1.174,21.017,0.23900000000000002,0.02,0.0006,0.126,0.568,0.0
Angelica (leaves and stems),2.9,400.0,0.073,34.0,41.3,597.0,0.0001,1.6,1.1,2.4,0.34,0.125,0.0,0.026,2.9,
Anglerfish and monkfish,1.0,19.0,0.014285714285714287,25.17142857142857,240.0,295.85714285714283,0.037471428571428565,0.3057142857142857,0.4614285714285714,4.4595714285714285,0.06,0.04357142857142857,0.0018571428571428573,0.16285714285714284,0.8800000000000001,0.0
"Anglerfish and monkfish, PROCESS Baking",1.105,21.285714285714285,0.011428571428571429,32.142857142857146,303.57142857142856,290.7142857142857,,0.37071428571428566,0.6235714285714286,5.989,0.06857142857142857,0.027857142857142858,0.0021000000000000003,0.141,1.105,0.0
"Anglerfish and monkfish, PROCESS Cooking in water",1.105,25.0,0.012,33.0,233.0,235.0,,0.319,0.593,4.606,0.064,0.023,0.0021000000000000003,0.141,1.105,0.0
"Anglerfish and monkfish, PROCESS Frying",1.105,25.0,0.012,33.0,233.0,235.0,,0.319,0.593,4.606,0.064,0.023,0.0021000000000000003,0.141,1.105,0.0
"Anglerfish and monkfish, PROCESS Steaming",1.105,25.0,0.012,33.0,233.0,235.0,,0.319,0.593,4.606,0.064,0.023,0.0021000000000000003,0.141,1.105,0.0
Anise seed,0.0,650.0,0.91,170.0,440.0,1440.0,0.005,37.0,5.3,4.617,0.2,0.3,0.0,0.2,0.0,0.0
Aniseed myrtle,1.6,56.9,0.09,13.0,53.0,253.0,0.0001,1.3,0.46,1.183,0.2,0.07,0.0,0.22,1.6,0.31
Apple chutney,0.177,16.285714285714285,0.0675,12.571428571428571,22.285714285714285,133.28571428571428,0.001,0.6992857142857142,0.13083333333333333,0.40714285714285714,0.011428571428571429,0.023333333333333334,0.0,0.06357142857142857,0.1862,0.002
Apple strudel,0.863,28.185714285714287,0.102,13.071428571428571,35.457142857142856,150.57142857142858,0.00014000000000000001,0.7497142857142857,0.22371428571428573,0.6768571428571428,0.017571428571428575,0.05728571428571429,0.0,0.04257142857142857,1.0712,0.004
Apples and similar-,0.195,3.585714285714286,0.034428571428571426,5.5,10.614285714285714,116.14285714285714,0.0002333333333333333,0.15542857142857144,0.06633333333333334,0.3425714285714286,0.016142857142857143,0.016428571428571428,0.0,0.05014285714285714,0.404,0.006
"Apples and similar-, PROCESS Baking",0.534,9.0,0.042166666666666665,8.0,16.0,163.5,,0.24500000000000002,0.044000000000000004,0.33349999999999996,0.015833333333333335,0.014666666666666666,0.0,0.047499999999999994,0.5452,0.006000000000000001
"Apples and similar-, PROCESS Cooking in water",0.556,5.428571428571429,0.04928571428571428,4.428571428571429,9.285714285714286,92.42857142857143,0.0,0.2092857142857143,0.05071428571428571,0.3577142857142857,0.008571428571428572,0.008571428571428572,0.0,0.03671428571428571,0.40360000000000007,0.006
"Apples and similar-, PROCESS Steaming",0.556,5.428571428571429,0.04928571428571428,4.428571428571429,9.285714285714286,92.42857142857143,0.0,0.2092857142857143,0.05071428571428571,0.3577142857142857,0.008571428571428572,0.008571428571428572,0.0,0.03671428571428571,0.40360000000000007,0.006
Apricots,0.2,17.914285714285715,0.06485714285714286,9.314285714285715,17.657142857142855,264.14285714285717,0.0005533333333333333,0.5342857142857144,0.15742857142857145,0.953,0.04471428571428571,0.038571428571428576,0.0,0.05971428571428572,0.6,0.003
Arbutus berries,1.0,47.4,0.062,32.0,55.8,321.0,0.0006,0.9,0.21,1.92,0.06,0.07,0.0,0.18,1.0,
Arrowroots,0.0,10.0,0.16,51.0,174.0,922.0,,2.57,0.3,2.983,0.073,0.17,0.0,0.1,0.0,0.0
"Arrowroots, PROCESS Baking",0.0,10.0,0.154,49.0,169.0,827.0,,2.5,0.289,2.751,0.069,0.145,0.0,0.085,0.0,0.0
"Arrowroots, PROCESS Cooking in water",0.0,10.0,0.148,47.0,166.0,760.0,,2.45,0.278,2.576,0.066,0.136,0.0,0.077,0.0,0.0
"Arrowroots, PROCESS Steaming",0.0,10.0,0.148,47.0,166.0,760.0,,2.45,0.278,2.576,0.066,0.136,0.0,0.077,0.0,0.0
"Artificial sweeteners (e.g., aspartam, saccharine)",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian-style noodles other than glass noodles,0.64,19.0,0.27,18.714285714285715,62.142857142857146,267.6666666666667,0.02,1.75,1.4,4.671428571428572,0.016,0.026000000000000002,0.0,0.027857142857142858,0.64,0.0
"Asian-style noodles other than glass noodles, PROCESS Cooking in water",0.606,12.142857142857142,0.09,5.857142857142857,52.0,80.3,0.001,0.44999999999999996,0.44999999999999996,1.865,0.008,0.01,0.0,0.013000000000000001,0.40359999999999996,0.0
"Asian-style noodles other than glass noodles, PROCESS Steaming",0.606,12.142857142857142,0.09,5.857142857142857,52.0,11.142857142857142,0.001,0.44999999999999996,0.44999999999999996,1.865,0.008,0.01,0.0,0.013000000000000001,0.40359999999999996,0.0
Asparagus,1.1,25.285714285714285,0.1112857142857143,15.714285714285714,61.285714285714285,227.0,0.0007714285714285715,0.7785714285714286,0.5617142857142857,1.4689999999999999,0.10142857142857142,0.154,0.0,0.05742857142857143,1.672,0.039
"Asparagus, PROCESS Baking",2.207,28.0,0.169,19.0,49.0,224.0,,0.745,0.48999999999999994,1.481,0.11,0.113,0.0,0.054,2.207,0.043
"Asparagus, PROCESS Cooking in water",0.25,19.033333333333335,0.11033333333333334,10.633333333333333,44.36666666666667,154.33333333333334,0.0007333333333333332,0.77,0.5138333333333334,1.373,0.07333333333333333,0.07433333333333332,0.0,0.04716666666666667,1.2504,0.039
"Asparagus, PROCESS Steaming",0.25,21.3,0.11766666666666666,11.623333333333333,48.833333333333336,198.16666666666666,0.0014666666666666667,0.738,0.48583333333333334,1.4915,0.09216666666666667,0.1125,0.0,0.058166666666666665,1.056,0.041
Aspartame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ass milk,0.1,110.0,0.025,9.0,61.0,70.0,,0.01,0.15,0.507,0.064,0.041,0.0001,0.035,0.1,0.001
Atlantic salmon,,20.0,0.048999999999999995,25.175,251.5,365.5,0.026625,0.585,0.597,11.6615,0.19166666666666665,0.17500000000000002,0.0042325,0.64,2.2525,0.00257
"Atlantic salmon, PROCESS Baking",2.645,17.0,0.03,27.0,265.42857142857144,416.2857142857143,0.02885714285714286,0.27285714285714285,0.5599999999999999,13.229285714285714,0.19685714285714284,0.15285714285714286,0.004431428571428571,0.6154285714285714,2.545,0.00257
"Atlantic salmon, PROCESS Cooking in water",2.695,17.5,0.03,27.166666666666668,267.5,388.8333333333333,0.027,0.2773333333333333,0.585,11.573333333333332,0.16985714285714287,0.16133333333333333,0.003931666666666667,0.5233333333333333,2.851,0.00257
"Atlantic salmon, PROCESS Curing",2.2,26.0,0.06,24.0,210.0,295.0,0.026,0.4,0.4,9.5,0.08,0.18,0.005,0.78,,0.00257
"Atlantic salmon, PROCESS Frying",2.6,19.2,0.0671,25.74285714285714,251.94285714285712,406.2857142857143,0.028300000000000002,0.2871428571428571,0.5,13.693,0.26285714285714284,0.1464285714285714,0.004057142857142857,0.6071428571428571,2.645,0.00532
"Atlantic salmon, PROCESS Preserving with salt",2.2,17.5,0.033499999999999995,27.5,233.0,378.5,0.026,0.315,0.207,10.982333333333335,0.259,0.135,0.0037333333333333333,0.7226666666666667,2.15975,0.00257
"Atlantic salmon, PROCESS Steaming",2.695,13.365,0.027999999999999997,25.96666666666667,275.1666666666667,394.8333333333333,0.023999999999999997,0.4303333333333333,0.4885,11.573333333333332,0.12614285714285714,0.18899999999999997,0.0036483333333333333,0.526,2.601,0.00257
"Atlantic salmon, PROD Farmed / cultivated / aquaculture",,8.68,0.087,23.7,197.0,303.0,0.0223,0.443,0.591,12.323,0.088,0.283,0.005030000000000001,0.63,2.81,0.00257
"Atlantic salmon, STATE Primal cuts / fillets / halves or quarters",2.2,16.0,0.06,25.0,240.0,390.0,0.026,0.4,0.4,10.7,0.13,0.23,0.004,0.75,,0.00396
Aubergines,0.1,10.285714285714286,0.057999999999999996,13.142857142857142,21.0,204.85714285714286,0.0008,0.3485714285714286,0.1496,0.8832857142857143,0.037142857142857144,0.038,0.0,0.07914285714285715,0.03,0.001
"Aubergines, PROCESS Baking",0.033,20.857142857142858,0.08499999999999999,13.285714285714286,26.72857142857143,197.14285714285714,0.0005,0.31999999999999995,0.10571428571428572,1.2778571428571428,0.07014285714285715,0.06142857142857143,0.0,0.10142857142857142,0.2798,0.001
"Aubergines, PROCESS Cooking in water",0.033,11.428571428571429,0.05914285714285715,10.428571428571429,16.142857142857142,169.71428571428572,0.0008571428571428572,0.321,0.09171428571428572,0.9635714285714286,0.06885714285714287,0.05985714285714285,0.0,0.09571428571428571,0.4443333333333334,0.001
"Aubergines, PROCESS Frying",4.7,11.914285714285715,0.02154285714285714,9.40857142857143,24.2,162.4,0.0006,0.33428571428571424,0.10828571428571429,0.476,0.017857142857142856,0.018500000000000003,0.0,0.06257142857142858,3.3600000000000003,0.016399999999999998
"Aubergines, PROCESS Steaming",0.033,12.142857142857142,0.07357142857142858,13.0,20.571428571428573,217.14285714285714,0.001,0.4342857142857143,0.12000000000000001,0.846,0.04785714285714286,0.038571428571428576,0.0,0.06571428571428571,0.033,0.001
Avocados,1.7000000000000002,12.242857142857144,0.25,28.02857142857143,40.32857142857143,466.7142857142857,0.0007485714285714285,0.5871428571428572,0.4363333333333333,1.582857142857143,0.141,0.08385714285714285,0.0,0.3482857142857143,3.2340000000000004,0.014000000000000002
Azuki beans (dry),0.3,107.28571428571429,0.918,150.83333333333334,412.14285714285717,1319.142857142857,0.002,5.319714285714285,4.316,6.220999999999999,0.20514285714285713,0.5334285714285715,0.0,0.41000000000000003,0.57,0.0
"Azuki beans (dry), PROCESS Baking",0.573,111.0,0.75,166.0,452.0,1509.0,,7.053,3.306,6.139,0.179,0.548,0.0,0.37700000000000006,0.573,0.0
"Azuki beans (dry), PROCESS Cooking in water",0.208,38.285714285714285,0.29714285714285715,57.857142857142854,169.28571428571428,490.0,0.001,2.2735714285714286,1.5164285714285715,2.2414285714285715,0.06357142857142857,0.16071428571428573,0.0,0.112,0.20800000000000002,0.0
"Azuki beans (dry), PROCESS Steaming",0.208,38.285714285714285,0.29714285714285715,57.857142857142854,169.28571428571428,490.0,0.001,2.2735714285714286,1.5164285714285715,2.2414285714285715,0.06357142857142857,0.16071428571428573,0.0,0.112,0.20800000000000002,0.0
Bacon,0.5,6.428571428571429,0.05857142857142857,16.428571428571427,141.57142857142858,226.71428571428572,0.0073999999999999995,0.7062857142857143,1.502,7.717428571428571,0.1417142857142857,0.4977142857142857,0.001042857142857143,0.41328571428571426,0.20375000000000001,0.0
"Bacon, PROCESS Baking",0.3,4.0,0.05285714285714286,21.0,146.57142857142858,264.85714285714283,0.01,0.8367142857142857,1.8825714285714283,8.18357142857143,0.18842857142857142,0.775,0.001142857142857143,0.3697142857142857,0.1834,0.0
"Bacon, PROCESS Cooking in water",0.324,5.428571428571429,0.068,26.285714285714285,225.14285714285714,338.85714285714283,,1.2571428571428573,2.663,8.324,0.20342857142857143,0.8114285714285714,0.001157142857142857,0.42628571428571427,0.2496,0.0
"Bacon, PROCESS Frying",0.7,15.142857142857142,0.12036,16.02857142857143,169.05714285714288,268.9428571428571,0.010879999999999999,0.8057142857142857,1.616,6.738857142857142,0.14771428571428571,0.496,0.0007428571428571429,0.27285714285714285,0.4,
"Bacon, PROCESS Steaming",0.324,5.428571428571429,0.068,26.285714285714285,225.14285714285714,338.85714285714283,,1.2571428571428573,2.663,8.324,0.20342857142857143,0.8114285714285714,0.001157142857142857,0.42628571428571427,0.2496,0.0
Baking yeast,0.2,43.714285714285715,0.36428571428571427,118.28571428571429,683.1428571428571,1015.7142857142857,0.0035714285714285718,7.628571428571428,5.867857142857143,18.812857142857144,2.472857142857143,0.6679999999999999,0.0003,1.3662857142857143,0.1,0.0
Baklava,7.405,65.42857142857143,0.3377142857142857,60.0,111.0,202.0,0.0022,1.3204285714285715,0.8602857142857143,1.9302857142857144,0.13314285714285715,0.06685714285714285,0.0,0.124,7.405,0.009
Bamboo shoots,0.2,13.0,0.25,3.2857142857142856,45.0,468.0,0.001,0.5857142857142856,0.2,1.033,0.06571428571428571,0.10142857142857142,0.0,0.1,0.3,0.005
"Bamboo shoots, PROCESS Cooking in water",0.6,16.714285714285715,0.21657142857142858,2.5714285714285716,44.42857142857143,409.14285714285717,0.001,0.46728571428571436,0.6324285714285715,0.8470000000000001,0.05928571428571429,0.09857142857142856,0.0,0.10842857142857144,0.43079999999999996,0.005
"Bamboo shoots, PROCESS Frying",0.2,56.7,0.11,8.0,30.1,318.0,4.6e-05,0.4,0.1,0.617,0.075,0.035,0.0,0.09,0.2,
"Bamboo shoots, PROCESS Steaming",0.6,16.714285714285715,0.21657142857142858,2.5714285714285716,44.42857142857143,409.14285714285717,0.001,0.46728571428571436,0.6324285714285715,0.8470000000000001,0.05928571428571429,0.09857142857142856,0.0,0.10842857142857144,0.43079999999999996,0.005
Barbecue or steak sauces,,21.6,0.1714,21.8,27.4,252.6,0.0013,0.8282,0.23079999999999998,1.3598,0.028800000000000003,0.045200000000000004,0.0,0.0772,1.1382,0.0
Barley flour,0.3,32.142857142857146,0.56,126.71428571428571,351.85714285714283,416.0,0.0031714285714285716,4.5,2.8,7.728571428571429,0.09571428571428572,0.25285714285714284,0.0,0.2642857142857143,0.29,0.001
"Barley grain, pearled",0.3,17.857142857142858,0.4,62.0,205.57142857142858,245.71428571428572,0.0035428571428571427,2.5285714285714285,2.085714285714286,5.128714285714286,0.06857142857142857,0.11771428571428573,0.0,0.19,0.20800000000000002,0.001
"Barley grain, pearled, PROCESS Cooking in water",0.1,7.457142857142857,0.13305714285714285,21.62857142857143,67.28571428571429,80.0,0.0022,0.9704285714285714,0.6651428571428571,1.6484285714285714,0.01842857142857143,0.02442857142857143,0.0,0.03471428571428571,0.05800000000000001,0.0
"Barley grain, pearled, PROCESS Steaming",0.1,7.457142857142857,0.13305714285714285,21.62857142857143,67.28571428571429,80.0,0.0022,0.9704285714285714,0.6651428571428571,1.6484285714285714,0.01842857142857143,0.02442857142857143,0.0,0.03471428571428571,0.05800000000000001,0.0
Barley porridge,0.0,102.0,0.01,10.0,76.0,127.0,0.0,0.0,0.3,0.0,0.15142857142857144,0.03,0.00017,0.03,0.0,
"Barley porridge, INGRED Cow milk, skimmed (low fat)",0.0,102.0,0.01,10.0,76.0,127.0,0.0,0.0,0.3,0.0,0.15285714285714286,0.03,0.00017,0.03,0.0,
"Barley porridge, INGRED Cow milk, whole",0.1,98.3,0.0516,16.2,94.5,148.1,0.0031,0.4,0.5,0.5,0.12571428571428572,0.03,0.0003,0.05,0.1,
"Barley porridge, INGRED Tap water",0.1,6.8,0.0804,12.8,43.0,51.4,0.0013000000000000002,0.6,0.4,0.8,0.011428571428571429,0.04,0.0,0.01,0.1,
Barley rolled grains,0.3,29.142857142857142,0.2914285714285714,60.857142857142854,243.85714285714286,234.28571428571428,0.0031714285714285716,2.914285714285714,2.005714285714286,4.65,0.06571428571428571,0.1457142857142857,0.0,0.22428571428571425,0.27,0.001
Barracudas,1.7,20.0,0.05,30.0,200.0,250.0,,1.0,1.1,4.183,0.08,0.12,0.002,0.15,1.7,0.0
"Barracudas, PROCESS Baking",1.385,14.0,0.129,32.0,261.0,383.0,,1.184,0.616,12.378,0.38500000000000006,0.123,0.0096,0.598,1.385,0.002
"Barracudas, PROCESS Cooking in water",1.373,14.0,0.127,32.0,259.0,380.0,,1.175,0.611,12.33,0.38099999999999995,0.122,0.0095,0.593,1.373,0.002
"Barracudas, PROCESS Frying",1.385,14.0,0.129,32.0,261.0,383.0,,1.184,0.616,12.378,0.38500000000000006,0.123,0.0096,0.598,1.385,0.002
"Barracudas, PROCESS Steaming",1.373,14.0,0.127,32.0,259.0,380.0,,1.175,0.611,12.33,0.38099999999999995,0.122,0.0095,0.593,1.373,0.002
Basic sweet masses,,56.65714285714286,0.3956857142857143,134.0,171.31428571428572,410.4,0.001542857142857143,1.407,1.2245714285714284,4.65,0.21400000000000002,0.1258,0.0002,0.041600000000000005,14.425999999999998,0.0
Basil,0.55,229.42857142857142,0.1862857142857143,41.0,43.857142857142854,334.7142857142857,0.00022857142857142854,5.001428571428571,0.7442857142857143,1.7158571428571427,0.25885714285714284,0.06899999999999999,0.0,0.16285714285714284,1.112,0.31
Beans (dry) and similar-,0.34,95.65714285714286,0.6442857142857142,158.57142857142858,436.57142857142856,1271.2857142857142,0.010885714285714287,5.771428571428571,2.6571428571428575,6.319142857142857,0.16999999999999998,0.4785714285714286,0.0,0.3842857142857143,0.366,0.17
"Beans (dry) and similar-, PROCESS Baking",0.112,39.0,0.264,74.0,175.0,377.0,,2.153,1.285,2.5449999999999995,0.09,0.15,0.0,0.119,0.11200000000000002,0.0
"Beans (dry) and similar-, PROCESS Cooking in water",0.112,38.65714285714286,0.2285714285714286,48.857142857142854,146.42857142857142,413.2857142857143,0.004228571428571429,2.237,0.9591428571428571,2.5449999999999995,0.06599999999999999,0.13799999999999998,0.0,0.10728571428571429,0.16040000000000001,0.0
"Beans (dry) and similar-, PROCESS Steaming",0.112,38.65714285714286,0.2285714285714286,48.857142857142854,146.42857142857142,413.2857142857143,0.004228571428571429,2.237,0.9591428571428571,2.5449999999999995,0.06599999999999999,0.13799999999999998,0.0,0.10728571428571429,0.16040000000000001,0.0
Beans (fresh seeds without pods) and similar-,0.3,27.142857142857142,0.10285714285714286,34.0,117.14285714285714,387.14285714285717,,1.8285714285714287,0.7785714285714286,3.2668571428571425,0.10571428571428573,0.1742857142857143,0.0,0.16,0.364,0.0
"Beans (fresh seeds without pods) and similar-, PROCESS Cooking in water",0.1,27.457142857142856,0.08457142857142856,22.400000000000002,65.17142857142856,238.54285714285714,0.0027,0.9111428571428571,0.5011428571428571,2.210142857142857,0.06685714285714285,0.06542857142857142,0.0,0.08257142857142859,0.2794,0.0
"Beans (fresh seeds without pods) and similar-, PROCESS Steaming",0.1,27.457142857142856,0.08457142857142856,22.400000000000002,65.17142857142856,238.54285714285714,0.0027,0.9111428571428571,0.5011428571428571,2.210142857142857,0.06685714285714285,0.06542857142857142,0.0,0.08257142857142859,0.2794,0.0
Beans (with pods) and similar-,0.3,50.142857142857146,0.055714285714285716,21.485714285714288,40.65714285714286,236.57142857142858,0.00075,0.92,0.2948571428571429,1.0685714285714287,0.103,0.07514285714285715,0.0,0.12771428571428572,0.20659999999999998,0.036
"Beans (with pods) and similar-, PROCESS Baking",0.113,63.871428571428574,0.08885714285714286,46.714285714285715,181.28571428571428,428.85714285714283,0.012,3.249142857142857,1.5017142857142858,5.3665714285714285,0.152,0.075,0.0,0.38742857142857146,0.11300000000000002,0.039
"Beans (with pods) and similar-, PROCESS Cooking in water",0.15000000000000002,48.957142857142856,0.06314285714285714,16.685714285714287,32.22857142857143,187.62857142857143,0.001,0.8778571428571428,0.2855714285714286,0.9031428571428571,0.07042857142857142,0.055285714285714285,0.0,0.08114285714285714,0.2084,0.035
"Beans (with pods) and similar-, PROCESS Steaming",0.1,49.542857142857144,0.06342857142857143,18.885714285714283,34.885714285714286,234.25714285714284,0.0015500000000000002,0.7684285714285713,0.3058571428571429,0.9885714285714285,0.08,0.056,0.0,0.09842857142857142,0.20739999999999997,0.036
Beans and meat meal,0.4,30.8,0.12225714285714286,23.400000000000002,92.77142857142857,261.37142857142857,0.004085714285714285,1.3314285714285714,1.2128571428571429,3.285285714285714,0.05914285714285715,0.07742857142857143,0.00034857142857142856,0.15457142857142858,0.32080000000000003,0.004
Beans and vegetables meal,0.89,74.83333333333333,0.138,27.0,65.7,250.0,0.001,1.2568333333333335,0.6923333333333334,1.6471666666666664,0.04816666666666666,0.0715,0.00013000000000000002,0.11233333333333333,0.083,0.0057
Bechamel sauce,1.1,115.66666666666667,0.041485714285714285,10.571428571428571,71.17142857142856,156.1,0.00028,0.12371428571428571,0.3788571428571429,1.2031428571428573,0.15285714285714286,0.03828571428571429,0.00032333333333333335,0.04757142857142856,1.062,0.004
Beef kidney,0.3,10.714285714285714,0.5002857142857142,17.714285714285715,254.28571428571428,227.14285714285714,0.14928571428571427,9.342857142857143,2.026857142857143,10.17,2.3357142857142854,0.3671428571428571,0.028142857142857143,0.3842857142857143,0.41,0.0
"Beef kidney, PROCESS Baking",0.2,14.187142857142858,0.42242857142857143,17.857142857142858,278.14285714285717,203.0,0.13399999999999998,8.474,2.494857142857143,9.82542857142857,2.2374285714285715,0.3764285714285714,0.029599999999999998,0.46971428571428575,0.5716,0.0
"Beef kidney, PROCESS Cooking in water",0.5,17.714285714285715,0.6174,21.571428571428573,329.7142857142857,234.82857142857142,0.19340000000000002,9.351428571428572,3.4285714285714284,13.394285714285715,2.8957142857142855,0.2914285714285714,0.03725714285714286,0.5528571428571428,0.6399999999999999,
"Beef kidney, PROCESS Frying",1.4,14.9,0.5852,22.3,298.5,268.4,0.15059999999999998,9.4,2.6,9.1,2.6,0.24,0.026699999999999998,0.44,1.4,
"Beef kidney, PROCESS Steaming",0.5,16.685714285714287,0.6396857142857143,19.0,317.42857142857144,222.54285714285714,0.19311428571428574,10.0,3.1142857142857143,13.328571428571427,3.0557142857142856,0.2857142857142857,0.03351428571428571,0.5928571428571429,0.6639999999999999,
Beef liver,0.8,6.0,5.544999999999999,20.428571428571427,364.0,342.14285714285717,0.03271428571428572,8.098571428571429,6.1331428571428575,19.867,2.8971428571428572,0.24028571428571427,0.06575,0.8781428571428572,0.8400000000000001,0.075
"Beef liver, PROCESS Baking",1.0,5.301428571428572,2.9122857142857144,18.285714285714285,328.85714285714283,290.42857142857144,0.03,6.253714285714286,4.6085714285714285,17.569714285714287,2.4705714285714286,0.17714285714285713,0.054285714285714284,0.7474285714285714,0.7272000000000001,0.04928571428571429
"Beef liver, PROCESS Cooking in water",0.666,6.428571428571429,3.0628571428571427,16.142857142857142,286.42857142857144,233.57142857142858,0.05,7.178571428571429,5.344,12.738,2.202142857142857,0.22714285714285712,0.05892857142857143,0.40499999999999997,0.5596,0.067
"Beef liver, PROCESS Frying",0.5,8.0,3.057142857142857,24.142857142857142,394.57142857142856,366.42857142857144,0.028714285714285716,11.599999999999998,14.412857142857144,19.357142857142858,3.0300000000000002,0.5528571428571428,0.058,0.8600000000000001,0.44000000000000006,
"Beef liver, PROCESS Steaming",0.666,6.428571428571429,3.0628571428571427,16.142857142857142,286.42857142857144,233.57142857142858,0.05,7.178571428571429,5.344,12.738,2.202142857142857,0.22714285714285712,0.05892857142857143,0.40499999999999997,0.5596,0.067
