voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Vegetables, gratinated",0.9,98.43333333333334,0.08283333333333333,17.616666666666667,91.95,234.9333333333333,0.0021666666666666666,0.6641666666666667,0.5873333333333334,1.7933333333333332,0.11616666666666665,0.07066666666666667,0.0003233333333333333,0.11566666666666665,1.5850000000000002,0.083
Vegetables-based cooked sauce,0.272,15.1,0.03866666666666666,8.266666666666667,27.8,146.43333333333334,0.0006,0.467,0.22833333333333336,1.3246666666666667,0.03933333333333333,0.10900000000000003,4e-05,0.06766666666666667,0.7664,0.011000000000000001
Vermouth,0.0,7.885714285714286,0.061142857142857145,6.885714285714286,7.3999999999999995,51.142857142857146,9.166666666666667e-05,0.5066666666666667,0.05142857142857143,0.05714285714285715,0.001,0.001,0.0,0.008,0.0,0.0
Vietnamese mint,0.01,110.0,1.42,194.0,356.0,3427.0,0.0055,9.09,1.99,10.72,0.489,0.528,0.0,0.332,0.01,
Viili,0.1,132.0,0.011,12.0,100.0,170.0,0.0029,0.1,0.5,0.1,0.17,0.03,0.0002,0.05,0.1,
"Viili, QUAL Fat free",0.1,120.0,0.01,12.0,90.0,160.0,0.0028,0.1,0.4,0.1,0.19,0.03,0.0002,0.05,0.1,
"Viili, QUAL Low fat (naturally or reduced)",0.1,120.0,0.011,12.0,100.0,160.0,0.0028,0.1,0.4,0.1,0.17,0.03,0.0002,0.05,0.1,
Vinegar,0.0,10.285714285714286,0.017714285714285714,14.285714285714286,25.714285714285715,73.28571428571429,0.00064,0.38571428571428573,0.1325714285714286,0.033,0.0,0.0,0.0,0.0,0.0,0.0
"Vinegar, apple",0.0,5.057142857142857,0.021028571428571428,10.271428571428572,7.614285714285714,56.58571428571429,0.0008500000000000001,0.32857142857142857,0.14285714285714285,0.033,0.0,0.0,0.0,0.0,0.0,0.0
"Vinegar, wine",0.0,8.842857142857143,0.011657142857142857,13.828571428571427,21.25714285714286,61.614285714285714,0.00055,0.32857142857142857,0.07428571428571429,0.033,0.0,0.0,0.0,0.0,0.0,0.0
Vodka and vodka-like spirits,,13.565,0.0182,5.0,9.4,9.0,0.0,0.115,0.10266666666666667,0.3666666666666667,0.0128,0.008,0.0,0.01,0.55,0.0
Waffles,1.489,72.56666666666666,0.08114285714285716,14.200000000000001,153.83333333333334,179.83333333333334,0.005,0.973,0.774,2.2563333333333335,0.10966666666666668,0.06533333333333334,0.000556,0.050499999999999996,1.7078000000000002,0.0030000000000000005
Wakame,0.87,238.28571428571428,0.13,120.0,80.28571428571429,107.71428571428571,,4.1,1.2971428571428572,1.4885714285714282,0.14857142857142858,0.05857142857142857,0.0,0.08714285714285715,0.8960000000000001,0.0
"Wakame, PROCESS Cooking in water",0.573,103.0,0.078,72.0,25.0,50.0,,1.597,0.7299999999999999,0.565,0.074,0.017,0.0,0.033,0.573,0.0
"Wakame, PROCESS Steaming",0.573,103.0,0.078,72.0,25.0,50.0,,1.597,0.7299999999999999,0.565,0.074,0.017,0.0,0.033,0.573,0.0
Walnut oil,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5760000000000005,0.015
Walnuts,2.75,96.8,1.32,150.71428571428572,369.7142857142857,482.0,0.006142857142857143,2.847142857142857,2.71,4.234857142857143,0.12971428571428573,0.3891428571428572,8e-05,0.5424285714285715,7.806,0.003
Water buffalo milk,0.2,195.42857142857142,0.025,31.0,128.71428571428572,100.0,,0.15,0.6,0.963,0.1,0.05,0.0003,0.025,0.2,0.008
"Water snails, conches and whelks, PROCESS Cooking in water",0.8,94.57142857142857,0.4,126.14285714285714,166.57142857142858,240.0,0.0448,3.9428571428571426,10.837142857142856,5.6000000000000005,0.1757142857142857,0.041428571428571426,0.020600000000000004,0.16999999999999998,0.8,
Watercresses,1.0,95.87142857142858,0.06616666666666667,20.45,43.9,262.3333333333333,0.00045,1.5114285714285713,0.36257142857142854,1.0284285714285715,0.08,0.08642857142857142,0.0001,0.11985714285714286,1.09,0.30948333333333333
Watercresses and similar-,1.0,157.87142857142857,0.08600000000000001,24.633333333333336,56.614285714285714,255.57142857142858,0.0009000000000000001,2.5228571428571427,0.43542857142857144,1.0308571428571427,0.11571428571428573,0.11785714285714287,0.0,0.17271428571428574,1.3219999999999998,0.25
Watermelons,0.1,7.142857142857143,0.019285714285714288,9.885714285714286,9.357142857142858,141.71428571428572,0.00022,0.2992857142857143,0.11185714285714286,0.39971428571428574,0.027142857142857142,0.04171428571428571,0.0,0.10685714285714286,0.094,0.0
Weisswurst,0.265,32.857142857142854,0.06,11.042857142857143,152.0,136.28571428571428,,1.2257142857142858,1.4600000000000002,4.697,0.07628571428571429,0.152,0.0009,0.126,0.265,0.013
Wheat beer,0.0,1.0,0.04,10.0,13.0,21.0,,0.001,0.02,0.924,0.04,0.001,0.0,0.04,0.0,0.0
Wheat bran,1.6,88.0,1.3685714285714285,492.2857142857143,1154.857142857143,1262.857142857143,0.005842857142857143,15.337142857142856,14.469999999999999,27.862,0.39999999999999997,0.7957142857142857,0.0,0.9924285714285713,2.0,0.0048
Wheat bran rolled flakes,0.9,35.285714285714285,0.5701999999999999,123.22857142857143,357.7714285714286,457.9428571428571,0.01167142857142857,6.936000000000001,3.531428571428571,11.185714285714285,0.8733333333333334,0.6871428571428572,0.0007599999999999999,1.0412857142857141,4.18,0.0
"Wheat bread and rolls, brown or wholemeal",0.8,56.666666666666664,0.20278333333333332,46.68333333333334,172.4333333333333,194.71666666666667,0.004033333333333333,1.9046666666666667,1.2668333333333333,4.357333333333333,0.10166666666666667,0.14383333333333334,0.0,0.11516666666666668,0.274,0.003241666666666667
"Wheat bread and rolls, white (refined flour)",0.62,43.25,0.17333333333333334,33.28333333333333,132.56666666666666,123.4,0.0034460000000000003,1.421,1.0066666666666666,6.083333333333333,0.07716666666666668,0.1278,0.00016,0.11416666666666668,0.36,0.0
